sw2025B-ms98-a-0002,1.861375,2.461875,fine,B,fp,u-2-1
sw2025B-ms98-a-0067,340.646500,340.786500,here,I,sd,u-76-2
sw2025B-ms98-a-0067,340.786500,340.816500,i,O,,
sw2025B-ms98-a-0067,340.816500,340.996500,am,O,,
sw2025B-ms98-a-0067,340.996500,341.246500,locked,B,sd,u-76-3
sw2025B-ms98-a-0067,341.246500,341.336500,up,I,sd,u-76-3
sw2025B-ms98-a-0067,341.336500,341.426500,in,I,sd,u-76-3
sw2025B-ms98-a-0067,341.426500,341.506500,the,I,sd,u-76-3
sw2025B-ms98-a-0067,341.506500,341.886500,laundry,I,sd,u-76-3
sw2025B-ms98-a-0067,341.886500,342.156500,room,I,sd,u-76-3
sw2025B-ms98-a-0067,342.156500,344.376500,[laughter],O,,
sw2025B-ms98-a-0067,344.376500,344.766500,okay,B,aa,u-78-1
sw2025B-ms98-a-0067,344.766500,345.096500,thanks,B,ft,u-78-2
sw2025B-ms98-a-0067,345.096500,345.206500,a,I,ft,u-78-2
sw2025B-ms98-a-0067,345.206500,345.495500,lot,I,ft,u-78-2
sw2025B-ms98-a-0067,345.607500,346.061375,bye-bye,O,,
