sw2064A-ms98-a-0003,5.230625,5.550625,um-hum,B,bh,u-2-1
sw2064A-ms98-a-0120,410.438875,410.505250,a,I,sv,u-136-1
sw2064A-ms98-a-0120,410.505250,410.738750,tough,I,sv,u-136-1
sw2064A-ms98-a-0120,410.738750,411.188875,subject,I,sv,u-136-1
sw2064A-ms98-a-0120,411.188875,411.288875,it,B,sv,u-136-2
sw2064A-ms98-a-0120,411.288875,411.538875,really,I,sv,u-136-2
sw2064A-ms98-a-0120,411.538875,411.748875,is,I,sv,u-136-2
sw2064A-ms98-a-0122,416.261000,416.525875,right,B,b,u-138-1
sw2064A-ms98-a-0124,418.953125,419.173125,that's,B,ba,u-140-1
sw2064A-ms98-a-0124,419.173125,419.405750,right,I,ba,u-140-1
sw2064A-ms98-a-0126,421.299625,421.418750,well,B,fc,u-142-1
sw2064A-ms98-a-0126,421.418750,421.591625,thank,I,fc,u-142-1
sw2064A-ms98-a-0126,421.591625,421.684750,you,I,fc,u-142-1
sw2064A-ms98-a-0126,421.684750,421.745250,it's,B,fc,u-142-2
sw2064A-ms98-a-0126,421.745250,421.945250,nice,I,fc,u-142-2
sw2064A-ms98-a-0126,421.945250,422.225250,talking,I,fc,u-142-2
sw2064A-ms98-a-0126,422.225250,422.315250,to,I,fc,u-142-2
sw2064A-ms98-a-0126,422.315250,422.473000,you,I,fc,u-142-2
sw2064A-ms98-a-0126,422.806125,423.089250,uh-huh,B,fc,u-144-1
sw2064A-ms98-a-0126,423.089250,423.184625,bye,B,fc,u-144-2
sw2064A-ms98-a-0126,423.184625,423.361250,bye,I,fc,u-144-2
