sw3750B-ms98-a-0001,0.020000,0.189875,yeah,B,o,u-1-1
sw3750B-ms98-a-0041,270.727375,270.917375,that,I,sd,u-93-2
sw3750B-ms98-a-0041,270.917375,271.047375,she'd,I,sd,u-93-2
sw3750B-ms98-a-0041,271.047375,271.247375,take,I,sd,u-93-2
sw3750B-ms98-a-0041,271.247375,271.417375,all,I,sd,u-93-2
sw3750B-ms98-a-0041,271.417375,271.477375,the,I,sd,u-93-2
sw3750B-ms98-a-0041,271.477375,271.797375,dogs,I,sd,u-93-2
sw3750B-ms98-a-0041,271.797375,271.987375,with,I,sd,u-93-2
sw3750B-ms98-a-0041,271.987375,272.067375,her,I,sd,u-93-2
sw3750B-ms98-a-0041,272.067375,272.297375,when,I,sd,u-93-2
sw3750B-ms98-a-0041,272.297375,272.427375,she,I,sd,u-93-2
sw3750B-ms98-a-0041,272.427375,272.637375,went,I,sd,u-93-2
sw3750B-ms98-a-0041,272.637375,272.897375,dog,I,sd,u-93-2
sw3750B-ms98-a-0041,272.897375,273.246750,showing,I,sd,u-93-2
sw3750B-ms98-a-0041,274.031875,274.257875,and,B,%,u-95-1
sw3750B-ms98-a-0041,274.257875,274.497375,she,I,%,u-95-1
sw3750B-ms98-a-0041,274.497375,274.717375,but,O,,
sw3750B-ms98-a-0041,274.717375,274.847375,if,B,sd,u-95-2
sw3750B-ms98-a-0041,274.847375,275.027375,he'd,I,sd,u-95-2
sw3750B-ms98-a-0041,275.027375,275.247375,buy,I,sd,u-95-2
sw3750B-ms98-a-0041,275.247375,275.457375,her,I,sd,u-95-2
sw3750B-ms98-a-0041,275.457375,275.507375,a,I,sd,u-95-2
sw3750B-ms98-a-0041,275.507375,275.942500,motor,I,sd,u-95-2
sw3750B-ms98-a-0041,275.942500,277.310250,[laughter-home],O,,
sw3750B-ms98-a-0041,277.636750,278.027375,so,B,sd,u-97-1
sw3750B-ms98-a-0041,278.027375,278.257375,he,I,sd,u-97-1
sw3750B-ms98-a-0041,278.257375,278.529000,did,I,sd,u-97-1
sw3750B-ms98-a-0042,279.377625,279.567625,but,B,sd,u-99-1
sw3750B-ms98-a-0042,279.567625,279.727625,as,I,sd,u-99-1
sw3750B-ms98-a-0042,279.727625,280.027625,far,I,sd,u-99-1
sw3750B-ms98-a-0042,280.027625,280.317625,as,I,sd,u-99-1
sw3750B-ms98-a-0042,280.317625,280.487625,as,I,sd,u-99-1
sw3750B-ms98-a-0042,280.487625,280.937625,camping,I,sd,u-99-1
sw3750B-ms98-a-0042,280.937625,281.037625,my,I,sd,u-99-1
sw3750B-ms98-a-0042,281.037625,281.357625,wife,I,sd,u-99-1
sw3750B-ms98-a-0042,281.357625,281.467625,and,I,sd,u-99-1
sw3750B-ms98-a-0042,281.467625,281.497625,i,I,sd,u-99-1
sw3750B-ms98-a-0042,281.497625,281.657625,had,I,sd,u-99-1
sw3750B-ms98-a-0042,281.657625,282.287625,plans,I,sd,u-99-1
sw3750B-ms98-a-0042,282.287625,282.575250,to,I,sd,u-99-1
sw3750B-ms98-a-0042,282.575250,282.916875,uh,I,sd,u-99-1
sw3750B-ms98-a-0042,283.205750,283.377625,not,I,sd,u-99-1
sw3750B-ms98-a-0042,283.377625,283.717625,really,I,sd,u-99-1
sw3750B-ms98-a-0042,283.717625,284.137625,camp,I,sd,u-99-1
sw3750B-ms98-a-0042,284.137625,284.397625,per,I,sd,u-99-1
sw3750B-ms98-a-0042,284.397625,284.827625,se,I,sd,u-99-1
sw3750B-ms98-a-0042,284.827625,285.067625,but,I,sd,u-99-1
sw3750B-ms98-a-0042,285.067625,285.292250,to,I,sd,u-99-1
sw3750B-ms98-a-0042,285.748000,286.147625,drive,I,sd,u-99-1
sw3750B-ms98-a-0042,286.147625,286.387625,up,I,sd,u-99-1
sw3750B-ms98-a-0042,286.387625,286.685125,the,I,sd,u-99-1
sw3750B-ms98-a-0042,287.039125,287.167625,you,I,sd,u-99-1
sw3750B-ms98-a-0042,287.167625,287.267625,know,I,sd,u-99-1
sw3750B-ms98-a-0042,287.267625,287.627625,Highway,I,sd,u-99-1
sw3750B-ms98-a-0042,287.627625,287.987625,One,I,sd,u-99-1
sw3750B-ms98-a-0042,287.987625,288.358375,there,I,sd,u-99-1
sw3750B-ms98-a-0042,288.358375,288.477625,in,I,sd,u-99-1
sw3750B-ms98-a-0042,288.477625,288.757625,in,I,sd,u-99-1
sw3750B-ms98-a-0042,288.757625,289.427625,California,I,sd,u-99-1
sw3750B-ms98-a-0043,290.555375,290.855375,uh,B,+,u-101-1
sw3750B-ms98-a-0043,290.855375,290.955375,as,I,+,u-101-1
sw3750B-ms98-a-0043,290.955375,291.165375,soon,I,+,u-101-1
sw3750B-ms98-a-0043,291.165375,291.255375,as,I,+,u-101-1
sw3750B-ms98-a-0043,291.255375,291.355375,we,I,+,u-101-1
sw3750B-ms98-a-0043,291.355375,291.515375,get,I,+,u-101-1
sw3750B-ms98-a-0043,291.515375,291.665375,this,I,+,u-101-1
sw3750B-ms98-a-0043,291.665375,291.965375,house,I,+,u-101-1
sw3750B-ms98-a-0043,291.965375,292.746125,finished,I,+,u-101-1
sw3750B-ms98-a-0043,292.932125,293.041250,i'm,O,,
sw3750B-ms98-a-0043,293.041250,293.335375,gonna,O,,
sw3750B-ms98-a-0043,293.335375,293.495375,need,B,sd,u-103-1
sw3750B-ms98-a-0043,293.495375,293.535375,a,I,sd,u-103-1
sw3750B-ms98-a-0043,293.535375,294.205375,vacation,I,sd,u-103-1
sw3750B-ms98-a-0043,294.205375,295.334625,[laughter],O,,
